method,number,mean_reward,std_reward,mean_rent,percentage_successful_episodes
DPO_5,250,48.83839999389649,28.734508259526336,915.444,0.856
DPO_5,500,48.300800003051755,29.170177228684544,911.008,0.856
DPO_5,750,45.56739999389649,29.374571260079335,871.674,0.832
DPO_5,1000,48.637,29.849551604672392,915.57,0.854
DPO_5,1250,51.184,28.161643133879814,952.842,0.884
DPO_5,1500,50.722,30.56286498350572,929.22,0.844
DPO_5,1750,52.36520000076294,27.764793334517698,965.652,0.884
DPO_5,2000,58.582300003051756,28.6352365413502,1031.822,0.892
DPO_5,4000,60.9075,29.87561829904111,1228.474,0.876
Llama,0,51.26180000305176,28.81416666982059,,0.0
REFUEL-onesided-lora-beta-0.1-2,250,50.896,28.59739820333311,949.96,0.882
REFUEL-onesided-lora-beta-0.1-2,1000,59.555,27.635529215124503,1045.55,0.9
REFUEL-onesided-lora-beta-0.1-2,1500,65.94640000915527,25.63304366453388,1116.506,0.918
REFUEL-onesided-lora-beta-0.1-2,2000,67.6105,29.062577565487892,1108.104,0.864
REFUEL-onesided-lora-beta-0.1-2,4000,70.04489999389648,29.6145464086063,1129.446,0.858
REFUEL-onesided-lora-beta-0.1-3,1000,62.68,25.324249248496983,1094.8,0.936
REFUEL-onesided-lora-beta-0.1-3,2000,65.808,32.075460027878016,1067.08,0.818
REFUEL-onesided-lora-beta-0.1-3,3000,73.56159997558593,28.030026138340556,1174.616,0.878
REFUEL-onesided-lora-beta-0.1-3,4000,77.97880004882812,26.242385402565024,1233.788,0.908
REFUEL-onesided-lora-beta-0.1-3,5000,75.72319995117188,29.71563931594986,2953.232,0.888
REFUEL-onesided-lora-beta-0.1-3,6000,73.70719995117187,29.762562168643072,1171.072,0.868
REFUEL-onesided-lora-beta-0.1-3,7000,76.256,26.516305625030046,1212.56,0.9
REFUEL-onesided-lora-beta-0.1-3,8000,70.73240002441406,34.22148085142137,1116.324,0.818
grpo_onesided_1_starter_change,80,64.20890000915527,25.150079244525287,1102.088,0.92
grpo_onesided_1_starter_change,160,70.44980000305176,28.21291725248577,1168.298,0.924
grpo_onesided_1_starter_change,240,73.61780000305176,24.045925711446706,1214.178,0.95
grpo_onesided_1_starter_change,320,73.39059999084472,30.087366311295945,1178.906,0.89
grpo_onesided_1_starter_change,400,76.03010000610351,27.90325964899211,1225.63,0.908
grpo_turn_level_onesided_1_starter_change,80,59.21480000305176,31.33400678412015,1009.148,0.834
grpo_turn_level_onesided_1_starter_change,160,57.486,30.507209049665622,995.86,0.842
grpo_turn_level_onesided_1_starter_change,240,63.45160000610352,27.45778100433992,1071.518,0.876
grpo_turn_level_onesided_1_starter_change,320,69.52919999694824,33.94386405799211,1115.292,0.83
grpo_turn_level_onesided_1_starter_change,400,68.929,23.471204890247964,1150.29,0.922
grpo_turn_level_onesided_2_starter_change,200,58.932,32.43336824938169,1004.32,0.83
grpo_turn_level_onesided_2_starter_change,400,65.432,26.07062285408617,1122.32,0.936
grpo_turn_level_onesided_2_starter_change,600,65.504,35.57389469821937,1062.04,0.814
grpo_turn_level_onesided_2_starter_change,800,69.436,34.43106016375331,1133.96,0.844
grpo_turn_level_onesided_2_starter_change,1000,67.41840002441407,33.62694607807457,1091.184,0.834
grpo_turn_level_onesided_2_starter_change,1200,76.088,28.1773003674944,1244.0,0.932
grpo_turn_level_onesided_2_starter_change,1400,69.816,36.87771880146601,1107.16,0.818
grpo_turn_level_onesided_2_starter_change,1600,74.88,26.21994660559018,1209.8,0.922
