method,number,mean_reward,std_reward,mean_rent,percentage_successful_episodes,percentage_partially_unsuccessful_episodes
Llama,0,46.01038407035496,30.446928666910857,870.625,1.0,0.19782608695652174
Llama-3.1-8B-Instruct_backup,0,44.9,32.44723922513799,916.6666666666666,1.0,0.23333333333333334
grpo_turn_level_multi_game_2,200,57.94051669083536,32.277352875071195,875.2857142857143,1.0,0.195
grpo_turn_level_multi_game_2,400,60.06550001502037,32.6336421421767,771.4285714285714,1.0,0.2075
grpo_turn_level_multi_game_2,600,68.45702001953498,28.530241472942183,894.0,1.0,0.1225
grpo_turn_level_multi_game_2,800,64.09600798513578,30.800031981224684,790.0,1.0,0.13695652173913042
grpo_turn_level_multi_game_2_full,200,58.049375,30.17635901748915,870.4285714285714,1.0,0.1825
grpo_turn_level_multi_game_2_full,400,56.93553332291543,34.03137773198338,830.0,1.0,0.2375
grpo_turn_level_multi_game_2_full,600,59.80391666173935,31.826906312852344,735.0,1.0,0.1825
grpo_turn_level_multi_game_2_full,800,54.577276082486726,36.574159506671606,802.6625,1.0,0.3130434782608696
